Date,SPX,Amazon
12/16/16,2258.070068,757.77002
12/19/16,2262.530029,766
12/20/16,2270.76001,771.219971
12/21/16,2265.179932,770.599976
12/22/16,2260.959961,766.340027
12/23/16,2263.790039,760.590027
12/27/16,2268.879883,771.400024
12/28/16,2249.919922,772.130005
12/29/16,2249.26001,765.150024
12/30/16,2238.830078,749.869995
1/3/17,2257.830078,753.669983
1/4/17,2270.75,757.179993
1/5/17,2269,780.450012
1/6/17,2276.97998,795.98999
1/9/17,2268.899902,796.919983
1/10/17,2268.899902,795.900024
1/11/17,2275.320068,799.02002
1/12/17,2270.439941,813.640015
1/13/17,2274.639893,817.140015
1/17/17,2267.889893,809.719971
1/18/17,2271.889893,807.47998
1/19/17,2263.689941,809.039978
1/20/17,2271.310059,808.330017
